Payer Id,Name,Address Line 1,City,State,Zip,Tel
37257,90degreebenefits,PO BOX 928,FINDLAY,OH,45839-0928,
36273,AARP MEDICARE SUPPLEMENT PLAN,PO Box 740819,Atlanta,GA,30374,888-866-8297
,ACE Medicare Supplement,PO Box 10859,Clearwater,FL,33757,800-601-3372
56693,ACTUARIAL MANAGEMENT RESOURCES,4964 UNIVERSITY PARKWAY,WINSTON-SALEM,NC,27106,
22384,Administrative Concepts Inc,997 Old Eagle School Road,Wayne,PA,19087,877-301-6136
40025,Aetna (Innovation Health Insurance Co.),PO BOX 981106,El Paso,TX,79998,
62118,Aetna (Payments),1021 Reams Fleming Blvd,Franklin,TN,37064,
38308,Aetna ASA Christian Brothers Services,1205 WINDHAM PKWY,ROMEOVILLE,IL,60446,
128KY,Aetna better health of KY,PO BOX 982969,EL PASO,TX,79998-9280,
128MD,Aetna Better Health of Maryland,PO BOX 982968,EL PASO,TX,79998-9280,866-827-2710
46320,AETNA BETTER HEALTH OF NEW JERSEY,P.O. BOX 982979,El Paso,TX,79998,
128VA,Aetna Better Health of Virginia,PO BOX 982974,EL PASO,TX,79998-9280,800-279-1878
128WV,AETNA BETTER HEALTH OF WEST VIRGINIA,P.O. BOX 982965,El Paso,TX,79998,
60054,Aetna Choice Plus,PO BOX 14079,LEXINGTON,KY,40512-4598,888-632-3862
60054,Aetna Health Plans,PO BOX 981106,EL PASO,TX,79998-1107,
AESSI,Aetna Senior Supplemental Insurance,PO BOX 14770,LEXINGTON,KY,40512,
64884,Aither Health,PO Box 211440,Eagan,MN,55121,844-899-6612
81400,All Savers Insurance   UnitedHealthOne,PO Box 19032,Greenbay,WI,54307,
52193,Allegeant,1954 Greenspring Drive,Timonium,MD,21093,
81040,Allegiance Benefit Plan Management Inc,P.O.Box 3018,Missoula,MT,59806,
37308,Allied Benefit Systems,"chicago , IL 60690",chicago,VI,60007,
75068,Allied Benefit Systems Inc,PO Box 909786,Chicago,IL,60690,866-455-8727
37308,allied benefits,PO BOX 462,Midleburg,vA,20118,
ASHC1,Allstate Health Solutions,PO Box 3252,milwaukee,WI,53201,855-212-5014
1000003089,AMA INSURANCE,330 N. WABASH AVE.,Chicago,IL,60611,
,AMBA,6034 W COURTYARD DR,AUSTIN,TX,78730-5035,800-375-2764
68069,Ambetter of Alabama,PO Box 5010,Farmington,MO,63640-5010,
1000001823,AMERIBEN SOLUTIONS,88 FARWELL RD,Boise,ID,83707,
01066,American Healthcare Alliance,PO Box 26127,Overland Park,KS,66225,800-222-8734
98798,American life insurance,po box 4884,Houston,TX,77210,
95606,American Plan Administrators,PO BOX 477,ARNOLD,MD,21012-0480,888-624-6300
26375,Amerigroup,PO BOX 61010,VIRGINIA BEACH,VA,23466-1010,
27514,Amerigroup Maryland and Virginia,PO BOX 61010,Virginia Beach,VA,23466,
22248,AmeriHealth Caritas Pennsylvania,PO BOX 7118,LONDON,KY,40742-7118,800-521-6007
,AmTrust North America WC,PO Box 89404,Cleveland,OH,44101,888-239-3909
SB923,Anthem HealthKeepers,PO BOX 27401,RICHMOND,VA,23279,800-901-0020
SB923,Anthem HealthKeepers,PO Box 61010,Virginia Beach,VA,23466,
13788,ASSOCIATED ADMINISTRATORS,911 Ridgebrook Road,Sparks,MD,21152,
1000003430,AUXIANT,PO BOX 75008,CEDAR RAPIDS,IA,52407,
22384,Balance Care,PO Box 4000,Collegeville,PA,19426,800-410-9153
62065,bankers life,P.O BOX 1935,CARMEL,IN,46082-1935,
,BCB,293 TURNPIKE RD,Charleston,sC,29403,444-444-4444
53589,BCBS of AZ,PO Box 2924,Phoenix,AZ,85062-2924,
1000005104,BENEFIT ASSISTANCE CORPORATION,3556 TEAYS VALLEY ROAD,HURRICANE,WV,25526,
19753,"BENEFIT PLAN ADMINISTRATORS, INC.",PO BOX 21392,SAINT PAUL,MN,55121-0392,800-277-8973
25463,Bind on demand Health Insurance,PO BOX 211758,EAGAN,MN,55121,
CB987,Blackhawk,PO Box 21661,Eagan,MN,55121,
SB690,Blue Cross and Blue Shield of Maryland,PO BOX 14113,LEXINGTON,KY,40512,
,Blue cross and blue shield of texas,PO BOX 660044,Dallas,TX,75266-0044,
SB923,Blue Cross and Blue Shield of Virginia,PO Box 27401,Richmond,VA,23279,
00621,blue cross blue shield of illinois,PO BOX 3004 naperville,ILLINOIS,IL,60629,
SB700,Blue Cross Blue Shield of Massachusetts,25 TECHNOLOGY PL,HINGHAM,MA,02043-4359,
SB880,Blue Cross Blue Shield of South Carolina,PO BOX 6000,GREENVILLE,SC,29606-6000,
ZBID0,Blue Cross of idaho,"P.O.BOX 7408 Boise,idaho 83707",Boise,US,83703,
SB930,Blue Cross of Washington  Premera,PO Box 91080,Seattle,WA,98111,877-995-2696
BOONG,Boon Administrative Service Inc,PO BOX 211637,EAGAN,MN,55121,866-868-4139
74238,Boon-Chapman,P.O Box 9201,Austin,TX,78766,
BRGHT,Bright Healthcare,PO BOX 211502,EAGAN,MN,55121-2702,844-926-4525
TP021,BroadSpire,PO 14645,Lexington,KY,40512,
75191,CareFirst Administrators,PO BOX 14115,LEXINGTON,KY,40512-4598,800-676-2583
SB580,CareFirst Administrators,PO Box 981633,El Paso,TX,79998-1633,800-618-2879
00580,CareFirst BCBS,PO BOX 981633,EL PASO,TX,79998-1633,
SB580,CareFirst Blue Cross and Blue Shield,PO BOX 14115,LEXINGTON,KY,40512-4598,
4789,CareFirst BlueCross BlueShield,P.O. Box 981633,El Paso,TX,79998-1633,
,CCMSI,PO BOX 948399 maitland FL 32794,Maitland,FL,32794,
68068,Centene Advantage Plans,7700 FORSYTH BOULEVARD,SAINT LOUIS,MO,63105,
84146,Champva,PO BOX 30750,TAMPA,FL,33630-3850,
59355,Christian Care Ministry Medi Share,PO BOX 981652,EL PASO,TX,79998,
,Chubb - North American Claims - Worker's Comp,PO BOX 42065,PHOENIX,AZ,85080-2065,
62308,Cigna,PO Box 188061,Chattanooga,TN,37422-8061,800-934-6302
62308,Cigna All Other Plans,PO BOX 182223,Chattanooga,TN,37422-8061,
15050,CIGNA GLOBAL HEALTH BENEFITS,"PO Box 15964, Wilmington, Delaware",Wilmington,DE,19850,
1060303370,CIGNA HEALTH AND LIFE INSURANCE COMPANY,P.O. BOX 182223,CHATTANOOGA,TN,37422-7223,
62308,Cigna Healthcare APWU,PO BOX 188004,CHATTANOOGA,TN,37422,
DCRSS,ClearShare,4301 W William Canon,austin,TX,78749,
48005,COMPANION LIFE INSURANCE COMPANY,P.O. Box 1535,DUBUQUE,IA,52004,
,Connect Auto Insurance,PO Box 19036,Green Bay,WI,54307-9036,608-722-3322
37135,consociate,PO Box 1068,decator,IL,62525-1068,833-987-2163
35245,Continental Benefits,Po box 3610,Brandon,FL,33509,
,CorVel Corp,PO Box 6966,Portland,OR,97228,
,Costco Health Solutions,P.O. Box 999,Appleton,WI,54912-0999,866-459-3322
95964,COVID19 HRSA Uninsured Testing Treatment,PO BOX 31376,SALT LAKE CITY,UT,84131,
CURTV,Curative,P.O Box 1786,Austin,TX,78767,855-414-1083
52133,DBP-Americhoice /UHC,PO Box 740372,Atlanta,GA,30374,
12115,Department of Veteran affairs,VHA Office of Finance,Tempa,FL,33630,
62599,Detego Health,PO Box 211609,Eagan,MN,55121,
06102,Diversified Adminstration,PO Box 299,Marlborough,CT,06447,888-322-2524
13551,Emblem Health,PO Box 3000,New York,NY,10116,
,Esis Claims,PO BOX 6560,SCRANTON,PA,18505-6560,800-830-6823
SB802,EXCELLUSBCBS,165 COURT ST.,ROCHESTER,NY,14647,
HPOUV,FBG - FIRST BRANDS CORPORATE CLE,,,,,
33033,FCE BENEFITS-ICL 1184,4615 Walzem Road,San Antonio,TX,78218,
41041,FEDERATED MUTUAL HEALTH INS. CO.,121 E PARK SQ,OWATONNA,MN,55060-3046,888-333-4949
1940360524,FEP BASIC CLAIMS ACCOUNT-FACETS,,,,,
11315,Fidelis Care New York,"Amherst, NY 14226-0724 PO box 724",Amherst,NY,14226-0724,
14829,First Health,PO Box 21474,Eagan,MN,55121,
,first health network,PO BOX 786,ARNOLD,MD,21012-4796,855-444-8850
89207,First Health Network,PO BOX 241989,APPLE VALLEY,MN,55124-2092,866-696-0409
FBM01,Florida Blue Medicare,PO BOX 1798,JACKSONVILLE,FL,32231-0014,
62324,Freedom Life Insurance (USHEALTH),P.O. BOX 21504,Eagan,MN,55121,866-745-8744
62308,Freedom Life INsurance Co of America,PO Box 188061,Chattanooga,TN,37422,866-780-8744
93158,Fringe Benefit Group,PO Box 21854,Eagan,MN,55121,855-452-1400
TP057,Gallagher Bassett,PO BOX 2831,CLINTON,IA,52733-2831,800-448-0077
39026,GEHA ASA,PO Box 981707,El Paso,TX,79998,800-821-6136
75273,geisinger,PO Box 853910,Richardson,TX,75085-3910,
0000,Gerber's insurance medicare supplement,PO Box 2271,Omaha,NE,68103-2271,
07689,Global Care Inc,PO Box 247,Alpharetta,GA,30009,
85664,GMR health,26 FIREMENS MEMORIAL DR,POMONA,NY,10970-3569,888-808-1656
44054,government employee programe,P.O. Box 21542,Eagan,MN,55121,
GRV01,Gravie Administrative Services,po Box 211543,Eagan,MN,55121,
48143,Group and Pension Administrators Inc,PO Box 749075,Dallas,TX,75374,866-206-3224
CB951,GROUP BENEFIT SERVICES-,,,,,
04271,Harvard pilgrim,PO BOX 699183,QUINCY,MA,02269-9220,
41178,Health EZ,PO Box 8013,CARLSBAD,CA,92013,
HMA01,Health Management Administrators   HMA,PO Box 85008,Bellevue,WA,98015,
95567,HEALTH NET COMMUNITY SOLUTIONS,P.O. Box 9103,Van Nuys,CA,91409-9103,
80142,Health Partners PA,PO Box 981744,El Paso,TX,79998-1744,
44273,Health plans INC,Po Box 5199,westborough,MA,01581,
80141,HEALTHFIRST,PO BOX 958438,LAKEMARY,FL,32795-8438,
94267,HealthPartners,PO BOX 1289,Minneapolis,MN,55440-1289,952-883-7755
71063,HealthScope Benefits,PO Box 16367,Lubbock,TX,79490,
40026,Healthscope Benefits,PO Box 30962,Salt Lake City,UT,84130-0962,
37283,HealthSmart Benefit Solutions,PO Box 93670,Lubbock,TX,79493,
52192,HEALTHSPRING MARKETS,CIGNA RECONSIDERATIONS,NASHVILLE,TN,37202,
59230,Heritage Consultants,PO box 1387,lake Alfred,FL,33850,
SB570,HIGHMARK BLUE CROSS BLUE SHIELD DE,,,,,
SB865,Highmark Blue Shield,1800 CENTER STREET,Camp Hill,PA,17089,
SB865,Highmark Blue Shield,1800 CENTER STREET,Camp Hill,PA,17089,
54828,Highmark Bluecross Blueshield,PO BOX 7026,WHEELING,WV,26003-0773,
25169,HIGHMARK WHOLECARE,PO BOX 173,SIDNEY,NE,69162,800-392-1147
90AQS,HRSA COVID 19 Coverage Assistance Fund,PO BOX 31376,SALT LAKE CITY,UT,84131,
61101,Humana Health Plan,PO Box 14610,Lexington,KY,40512,800-448-6262
61103,Humana Healthy Horizons,PO Box 14601,Lexington,KY,40512,
61101,Humana Healthy Horizons in Virginia,PO Box 14359,Lexington,KY,40512-4359,
61101,HUMANA INC.,PO BOX 14601,LEXINGTON,KY,40512-4880,
48143,Imagine360,PO Box 749075,Dallas,TX,75374-9075,
IEHP1,Inland Empire Health Plan (IEHP),PO BOX 4349,RANCHO CUCAMONGA,CA,91729-4349,
40025,Innovation Health Insurance Company,PO BOX 981106,EL PASO,TX,79998,
28680,Innovative partners,PO Box 21823,Eagan,MN,55121,800-256-3730
11329,International benefits administrators,PO BOX 163,ARNOLD,MD,21012-0180,
IMGIN,International Medical Group,P.O. Box 9162,Farmington Hills,MI,48333,855-731-9442
35115,INTOTAL HEALTH,PO BOX 5446,RICHMOND,VA,23220,858-323-5588
52189,Johns Hopkins Employer Health Programs,PO Box 4227,Scranton,PA,18505,800-261-2393
52123,Johns Hopkins US Health Family Plan,P.O. Box 219960,Kanssas,MO,64121,800-808-7347
34136,JP FARLEY,PO BOX 458022,WESTLAKE,OH,44145,
,K-K Group,P.O. Box 2338,Fort Wayne,IN,46801-2338,
52095,Kaiser Foundation Health Mid Atlantic St,PO BOX 371860,DENVER,CO,80237,855-249-5025
52095,Kaiser Foundation Health of Mid Atlantic States,PO Box 64533,Baltimore,MD,21264,
93079,Kaiser Foundation of the Northwest (OR & WA Only) (93079),500 NE MULTNOMAH ST,PORTLAND,OR,97232-2023,
94135,kaiser north california,PO BOX 8002,PLEASANTON,CA,94588-8603,800-464-4000
91051,Kaiser Permanente fka GHC WA,PO Box 34585,Seattle,WA,98124,
1000001947,Kaiser Permanente Insurance Company,One Kaiser Plaza,Oakland,CA,94612,
KPIC1,KPIC   Kaiser Permanente,PO Box 261130,Plano,TX,75026,
94320,KPIC Self-Funded Claims Administrator,P.O. Box 30547,Salt Lake City,UT,84130-0547,877-740-4117
,Liberty Mutual Workers' Compensation,PO BOX 7203,LONDON,KY,40742-7271,800-500-7044
23223,Loomis Company,PO Box 7011,Wyomissing,PA,19610,833-380-9080
13193,Loyal American Life Insurance Co. / Cigna Medicare Supplemental,PO BOX 55290,PHOENIX,AZ,85078-5290,855-809-2148
88056,Lucent Health,P.O. Box 240539,Apple Valley,MN,55124,855-556-0285
65085,Lucent Health,PO Box 1984,Nashville,TN,37202,
38225,Luminare Health Internal(fka Trustmark Health Benefits),PO BOX 4386,CLINTON,IA,52733-4400,
35182,Luminare Health(fka Trustmark Health Benefits),PO Box 2920,Clinton,IA,52733,
MCCVA,Magellan Complete Care of Virginia,1 CAMERON HILL CIR,CHATTANOOGA,TN,37402,800-424-4518
11303,MagnaCare,PO BOX 1001,GARDEN CITY,NY,11530,877-269-2134
11303,Magnacare,PO BOX 1001,GARDEN CITY,NY,11530-8001,
62308,MARPAI,PO Box 188061,Chattanooga,TN,37422-8061,888-970-2779
90753,medcost / liberty health share,PO BOX 1309,MINNEAPOLIS,MN,554401309,
56162,Medcost LLC,PO Box 25307,Winston-Salem,NC,27114,
98999,Medi Plus,PO Box 9126,Des Moines,IA,50306,
59355,Medi-Share,PO Box 981652,El Paso,TX,79998-1652,321-308-7777
71890,Medica,PO Box 659752,San Antonio,TX,78265,
SKVA0,Medicaid of Virginia,PO Box 27444,Richmond,VA,23261,
SX057,Medical Mutual,PO Box 6018,Cleveland,OH,44101,
WELM2,Medicare Advantage UHC,PO Box 30508,SALT LAKE CITY,UT,84130-3210,
DMEC,Medicare DME C,CGS - Jurisdiction C,Nashville,TN,37202,
SMVA0,Medicare of Virginia   J11,PO BOX 650208,DALLAS,TX,75265,
23160,MediCo Insurance Company,P.O. Box 21660,Eagan,MN,55121-0660,800-228-6080
,MediPlus Insurance Operations,PO Box 9326,DES MOINES,IA,50306-9326,800-247-2192
RP063,MedStar Family Choice,PO Box 211702,Eagan,MN,55121,888-404-3549
251MS,Medstar Select,PO BOX 240,Pittsburgh,PA,15230,
ihs24,Merchants Benefit Administration,"PO BOX 786 Arnold,MD",Arnold,MA,21012,
1000005081,"Merchants Benefit Administration, Inc.",18700 N Hayden Rd,Scottsdale,AZ,85255,
41124,meritain health,po box 853921,richardson,TX,75085,
41124,Meritain Health,PO Box 853921,Richardson,TX,75085-3921,
64157,Meritain Health   North American Adminis,PO Box 853921,Richardson,TX,75085,
SKMI0,Michigan Medicaid,109 W MICHIGAN AVE,LANSING,MI,48933-1557,
,Moaa Mediplus,P. O. Box 9126,Des Moines,IA,50306-9126,800-247-2192
MCC02,Molina Complete Care,PO BOX 22656,LONG BEACH,CA,90801-5681,800-424-4524
MCC02,Molina Health care,PO BOX 22656,LONG BEACH,CA,90801-5681,
38333,MOLINA HEALTHCARE OF CALIFORNIA,200 OCEANGATE,Long Beach,CA,90802,
20934,Molina Healthcare of Illinois,PO Box 540,Long Beach,CA,90801,
16146,"MOLINA HEALTHCARE OF NEW YORK, INC","200 OCEANGATE, 6TH FLOOR",LONG BEACH,CA,90802,
20149,Molina Healthcare of Ohio,PO BOX 22712,LONG BEACH,CA,90801-5822,855-322-4079
Z1161,Molina Healthcare of Texas,200 Oceangate,Long Beach,CA,90802,
71412,Mutual Omaha Insurance,3316 FARNAM ST,OMAHA,NE,68175,800-546-5906
14165,MVP Healthcare,Po Box 2207,Schenectady,NY,12301,800-684-9286
13162,National Benefit Fund,330 West 42nd St,New York,NY,10036,
75190,NATIONAL CLAIMS ADMIN SVCS,PO BOX 981610,EL PASO,TX,79998,
75190,NATIONAL CLAIMS ADMIN SVCS,PO BOX 981610,EL PASO,TX,79998,800-618-2879
,Nationwide Auto Insurance,PO Box 4190,Clinton,IA,52733,
81264,Nippon life insurace,PO BOX 25951,shawnee misson,ks,66225,
MMBRSHIP,NWUC Membership,42010 VILLAGE CENTER PLZ,ALDIE,VA,20105-3036,703-775-4999
34158,OhioHealthy,PO BOX 2582,HUDSON,OH,44236-0099,
54154,Optima Health Plan,PO Box 5028,Troy,MI,48007,800-275-3755
96277,OptiMed Health,5600 Spalding Dr.,Norcriss,GA,30010,
OSCAR,OSCAR INSURANCE CORPORATION,PO BOX 1001,GARDEN CITY,NY,11530-8001,855-672-2755
06111,Oxford Health Plan,PO Box 7082,Bridgeport,CT,06601,800-666-1353
1000005277,OXFORD LIFE INSURANCE COMPANY,,,,,
10468,P2P: ARGONAUT INSURANCE CO -WORKERS COMP,,,,,
93029,Pacific Source Health Plans,PO box 7068,springfield,OR,974750068,
37287,PAI,PO Box 6702,Columbia,SC,29260,866-798-0803
SMVA0,Palmetto GBA,,,,,
04218,Pan American Life Insurance Group,PO Box 981644,El Paso,TX,79998-1644,800-999-5382
1000004263,PAN-AMERICAN LIFE INSURANCE COMPANY,P.O. BOX 981644,EL PASO,TX,79998,
61325,Passport Health Plan by Molina Healthcare,PO BOX 36090,LOUISVILLE,KY,40233-6090,
Peak0,Peak Health,1085 Van Voorhis RD,Morgantown,WV,26505,844-484-0302
Z1012,PEHP (Public Employees Health Program),PEHP Claims Department 560 E 200 S,Salt Lake City,UT,84102,
1000003113,PEKIN LIFE INSURANCE,2505 COURT STREET,PEKIN,IL,61558,
06941,PHCS,,,,,
62324,PHCS,PO BOX 211196,Eagan,MN,55121,
62324,phcs,PO BOX 1309,MINNEAPOLIS,MN,55440-1309,800-883-2177
41205,PHCS (acuity group),PO BOX21515,Eagan,MN,55121,
,Physicians Mutual Inc.,PO Box 82520,Lincoln,NE,68501,800-228-9100
55768,Piedmont Community Health Plan,PO Box 21406,Eagan,MN,55121,
65241,Planstin,PO BOX 21747,EAGAN,MN,55121,888-920-7526
,PNCbenefitPlus,Po box 2865,fargo,ND,58108,
32324,Premier administrator solution innovative partners,PO Box 21751,Eagan,MN,55121,
95279,Prime Healthcare,PO BOX 2744,TORRANCE,CA,90509-2750,877-234-5227
38217,Priority Health,PO BOX 232,GRAND RAPIDS,MI,49501-0238,
,Quality health management,7600 corp center dr suite 502,miami lakes,FL,33126,305-821-8430
SRRGA,RAILROAD MEDICARE,PO BOX 10066,AUGUSTA,GA,30999,
00882,Railroad Medicare B,PO BOX 10066,AUGUSTA,GA,30999-0001,
,RCM Missing Insurance,Please scan copy of insurance card,westborough,ma,,
ASRM1,Reliance Standard Mutli plan,"505 South Lenola Road, Suite 231",Moorestown,NJ,08057,
,Retail Business Services,PO BOX 4184,CLINTON,IA,52733-4199,704-310-4368
RXHUB,RXHUB,DO NOT DELETE USED BY ELIGIBILITY,,,,
62308,Samba Federal Health Plan,PO BOX 188007,CHATTANOOGA,TN,37422,
50114,Sana Benefits,PO BOX 855,ARNOLD,MD,21012-0859,833-726-2123
91184,SANFORD HEALTH PLAN-ICL,PO Box 91110,Sioux Falls,SD,57109,
41205,"SavATree, LLC Health Plan",PO BOX 21515,Eagan,MN,55121,
SBMCO,SBMA benefits,PO BOX 241178,Apple valley,MN,55124,888-505-7724
,Sedgwick Workers' Compensation,PO BOX 14498,LEXINGTON,KY,40512-4598,866-495-7844
Z0001,Selecthealth Advantage,PO BOX 30196,SALT LAKE CITY,UT,84130,
52214,Selman Tricare Supplement Plans,PO BOX 29151,HOT SPRINGS,AR,71903,
54154,Sentara Community Plan,PO Box 8203,Kingston,NY,12402-8203,
76342,Sierra Health and Life,PO BOX 15645,Las Vegas,NV,89114-5645,
35162,Signature Care,PO BOX 5548,Ft. Wayne,IN,46895-5548,
23250,Significa Benefit Services,P.O. Box 7777,Lancaster,PA,17604-7777,
SMPLY,Simply Healthcare,P.O. Box 61010,Virginia Beach,VA,23466-1010,
44827,SISCO,PO BOX 389,DUBUQUE,IA,52004,
ISOSH,SISCO Benefits,PO Box 3190,Dubuque,IA,52004-3190,
77721,Solidarity,PO BOX 26967,TEMPE,AZ,85285,
83245,Southwestern Health Resources,P.O Box 317,Sidney,NE,69162,
91184,Stanford Health Plan,PO Box 91110,Sioux Falls,SD,57109-1110,
,state farm health insurance,PO BOX 3070,NEWARK,OH,43058-3070,
90001,state of illinois benefit plans,"HEALTHLINK INC P.O box 419104, STLouis",Missouri,MO,,
00580,steamfitter,po box 14115,lexington,KY,40512,
00580,Steamfitter Mail Administrator/Network Leasing,PO Box 14115,Lexington,KY,40512-4115,
SB580,Steamfitters,P.O. Box 34567,Seattle,WA,98124,800-618-2879
25463,Surest,P.O. Box 211758,Eagan,MN,55121,844-368-6661
37282,SYMETRA LIFE INS.,PO BOX 3245,MILWAUKEE,WI,53201-3299,800-497-3699
65085,teladoc,po box 1984,nashville,TN,37202,
J1422,The Hartford (All States) (WC Only),PO BOX 14170,LEXINGTON,KY,40512,800-526-1611
95677,The Health Plan,1110 Main Street,wheeling,WV,26003,877-318-4490
MP340,Three Rivers Preferred,PO Box 2600,Fort Wayne,IN,46801,800-966-8776
11329,Thrive Health International Benefits,P.O. Box 576,Arnold,MD,21012,
19046,TRAVELERS,PO BOX 660456,DALLAS,TX,75266,
,Travelers Workers' Comp,P. O. Box 660456,Dallas,TX,75266-0456,877-228-2758
1000005273,TRICARE EAST,PO BOX 7889,MADISON,WI,53707,
TREST,TRICARE EAST,PO BOX 7981,MADISON,WI,53707-7989,
99727,Tricare East Region,PO BOX 7981,MADISON,WI,53707-7989,
TDDIR,TRICARE for Life,PO Box 7890,Madison,WI,53708-7890,866-773-0404
TRICW,Tricare West Region,PO Box 7065,Camden,SC,29021,
L0230,Trusted Health Plan Medicaid,PO Box 830786,Birmingham,AL,35283,877-685-6391
48117,Trustmark Health Benefits fka FMH Benefit Services,PO BOX 890035,CAMP HILL,PA,17089-0035,
61425,Trustmark Small Business Benefits,P.O Box 2942,Clinton,IA,57233-2942,800-522-1246
04298,Tufts Health Plan,PO Box 178,Canton,MA,02021-0178,888-884-2404
04298,Tufts Health Plan,PO BOX 178,CANTON,MA,02021-0179,888-884-2404
80840,U.S. Department of Veterans Affairs,P.O. Box 30780,Tampa,FL,336-3780,
36273,UHC  AARP  MEDICARE COMPLETE  POS ME,PO BOX 31361,SALT LAKE CITY,UT,84131,
87726,UHC Community Plan MD WA DE PA OH,PO BOX 31365,SALT LAKE CITY,UT,84131,
25463,UHC SUREST,"po Box 211758 Eagan, MN 55121",Eagan,MN,55121,
83173,UHSM,P.O. BOX 16188,LUBBOCK,TX,79490-6188,800-900-8476
07689,UHSM (DOS starting 1/1/23),PO BOX 16188,LUBBOCK,TX,79490-6202,
39026,UMR,PO BOX 30541,SALT LAKE CITY,UT,84130,877-233-1800
80314,Unicare,PO Box 4458,Chicago,IL,60680,
80314,Unicare Anthem,P.O. Box 91.,Charleston,WV,25321-0091,
1000002429,"UNIFIED GROUP SERVICES, INC.",P.O. Box 10,Pendleton,IN,46064,
UNIFIED,Unified Life Insurance,PO Box 981845,El Paso,TX,79998-1845,
98999,Unified Life Insurance company,PO BOX 25326,OVERLAND PARK,KS,66225,800-237-4463
92916,UNITED AMERICAN INSURANCE COMPANY,PO BOX 8080,MCKINNEY,TX,75070-8080,
87726,united health care,PO BOX 30541,salt lake,UT,84044,
87726,United Health care Community plan MCO,PO Box 31362,Salt Lake City,UT,84131,844-284-0146
30506,united health EFTW,PO box 30555,salt lake,uT,20118,
USN01,United healthcare Global,PO BOX 30526,SALT LAKE CITY,UT,84130-0575,877-370-4094
37602,United Healthcare Golden Rule,PO Box 31374,Salt Lake City,UT,84131,
1000002044,UNITED HEALTHCARE INSURANCE COMPANY,9100 S DADELAND BLVD,Miami,FL,33156-7814,
87726,United Healthcare Of All States,P.O. Box 5230,Kingston,NY,12402-5230,
74227,United HealthCare Student Resources,PO BOX 809025,DALLAS,TX,75380,
39026,UNITEDHEALTH INTEGRATED SERVICES,POBOX 30783,SALT LAKE CITY,UT,84130,
87726,UNITEDHEALTHCARE,P.O. Box 30978,SALT LAKE CITY,UT,84130,
STDNT,Unitedhealthcare StudentResource,PO Box 809025,Dallas,TX,75380-9025,
23281,UPMC Health Plan,PO BOX 2999,PITTSBURGH,PA,15230,
USFHP,US Family Health Plan,PO Box 830479,EL PASO,TX,79998,
39026,US Health Group,UMR PO Box 30541,SALT LAKE CITY,UT,84130-0541,
75895,USAA,411 NORTH BAYLEN STREET,Pensacola,FL,32501,
74095,USAA,PO BOX 33490,SAN ANTONIO,TX,78265,800-531-8722
C1027,UTICA,PO BOX 5310,BINGHAMTOM,NY,13902,
,VA Corp,"1819electric Rd, suite C",Roanoke,VA,24018,888-822-6772
MC017,VA Medicaid,PO Box 27444,Richmond,VA,23261,
VACCN,Veterans Affairs Community Care Network,PO BOX 202112,FLORENCE,SC,29502,
VAPRM,Virginia Premier Health Plan,PO Box 5550,Richmond,VA,23220-0550,800-727-7536
,Virginia workers compensation comission,333 E FRANKLIN ST,RICHMOND,VA,23219-2213,877-664-2566
,Walmart Claim Services,PO BOX 14731,LEXINGTON,KY,40512-4880,800-527-0566
J1790,WC Accident Fund,PO BOX 40790,LANSING,MI,48901-7999,
75261,WEB TPA,PO Box 99906,Grapevine,TX,76099,
88848,Wellmark Blue Cross Blue Shield of Iowa,PO BOX 9232,DES MOINES,IA,50306-9291,
WELM2,WellMed,PO BOX 400066,SAN ANTONIO,TX,78229-1966,866-944-4983
98999,Wellnet,57 Street Road,South Hampton,PA,18966,866-902-3017
WLPNT,Wellpoint Maryland Medicaid,PO Box 61010,Virginia Beach,VA,23466,
WLPNT,Wellpoint WV,P.O. Box 91,Charleston,WV,25321-0091,
SKWV0,West Virginia Medicaid,PO Box 3768,Charleston,WV,25337-3768,
00592,WILLSE & ASSOCIATES,PO BOX 13303,BALTIMORE,MD,21203-3326,
,World medical Management Solutions,"800 Se Fourth Avenue , suite 718",Hallandale beach,FL,33009,
HCCMI,WorldTrips,P.O Box 2005,Farmington Hills,MI,48333-2005,800-605-2282
59140,ZENITH AMERICAN SOLUTIONS,1901 LAS VEGAS BLVD S,Las Vegas,NV,89104,
7386647821,ZENITH LUMINX,3 GATEWAY CENTER,PITTSBURGH,PA,15222,
J1015,ZURICH,PO BOX 968023,SCHAUMBURG,IL,60196,